View,Coment,Like,Subscriber
23628.0,58.0,568.0,480000.0
16833.0,226.0,978.0,60000.0
21818.0,127.0,1000.0,110000.0
3030.0,24.0,301.0,10000.0
19104.0,145.0,556.0,370000.0
6717.0,33.0,212.0,70000.0
13441.0,57.0,863.0,320000.0
13646.0,254.0,445.0,60000.0
4581.0,22.0,68.0,80000.0
2385.0,21.0,57.0,771.0
265.0,9.0,26.0,60000.0
4489.0,55.0,613.0,40000.0
7916.0,40.0,502.0,50000.0
330.0,9.0,31.0,5000.0
3224.0,31.0,160.0,5000.0
6774.0,65.0,486.0,280000.0
3284.0,25.0,188.0,30000.0
22848.0,216.0,599.0,240000.0
11975.0,168.0,561.0,170000.0
14291.0,139.0,821.0,110000.0
517.0,32.0,23.0,2000.0
2844.0,65.0,116.0,220000.0
1776.0,95.0,514.0,10000.0
2614.0,109.0,441.0,20000.0
459.0,4.0,10.0,190000.0
90.0,5.0,17.0,615.0
6118.0,80.0,395.0,110000.0
678.0,41.0,45.0,2000.0
1015.0,6.0,52.0,50000.0
6767.0,31.0,146.0,100000.0
2133.0,32.0,177.0,10000.0
36.0,6.0,3.0,163.0
202.0,16.0,33.0,2000.0
110.0,13.0,13.0,376.0
908.0,0.0,2.0,262.0
532.0,5.0,103.0,6000.0
190.0,17.0,28.0,606.0
770.0,28.0,28.0,5000.0
9946.0,137.0,455.0,80000.0
84.0,2.0,4.0,17.0
240.0,14.0,11.0,7000.0
87.0,0.0,6.0,6000.0
13189.0,351.0,1000.0,60000.0
129.0,59.0,41.0,1000.0
5.0,0.0,1.0,262.0
19.0,3.0,2.0,298.0
88.0,16.0,10.0,49.0
10.0,0.0,1.0,3.0
3631.0,1.0,102.0,50000.0
3.0,1.0,1.0,21.0
98.0,18.0,16.0,1000.0
67.0,6.0,13.0,160.0
114.0,59.0,33.0,822.0
542.0,114.0,67.0,8000.0
2660.0,49.0,76.0,4000.0
41.0,9.0,9.0,60.0
3511.0,7.0,37.0,1000.0
10.0,0.0,2.0,1000.0
65.0,0.0,1.0,3000.0
36.0,4.0,7.0,43.0
7.0,2.0,0.0,1.0
99.0,4.0,13.0,965.0
