View,Coment,Like,Subscriber
28025.0,178.0,478.0,110000.0
5379.0,120.0,648.0,30000.0
12842.0,48.0,208.0,40000.0
315.0,5.0,8.0,1000.0
24.0,1.0,2.0,26.0
8798.0,100.0,375.0,110000.0
5012.0,69.0,221.0,20000.0
3781.0,43.0,104.0,10000.0
3337.0,9.0,71.0,20000.0
952.0,29.0,135.0,30000.0
28025.0,178.0,478.0,110000.0
5510.0,120.0,649.0,30000.0
12842.0,48.0,208.0,40000.0
315.0,5.0,8.0,1000.0
24.0,1.0,2.0,26.0
9338.0,100.0,377.0,110000.0
5012.0,69.0,221.0,20000.0
3781.0,43.0,104.0,10000.0
3337.0,9.0,71.0,20000.0
959.0,29.0,136.0,30000.0
5510.0,120.0,649.0,30000.0
12842.0,48.0,208.0,40000.0
315.0,5.0,8.0,1000.0
24.0,1.0,2.0,26.0
9338.0,100.0,377.0,110000.0
150.0,2.0,16.0,1840.0
855.0,52.0,95.0,19300.0
63.0,0.0,8.0,1150.0
5.0,0.0,0.0,18.0
37.0,0.0,4.0,821.0
1465.0,37.0,104.0,64800.0
13482.0,174.0,627.0,38300.0
102.0,0.0,6.0,3340.0
2893.0,25.0,91.0,8800.0
1254.0,72.0,66.0,1460.0
94.0,1.0,9.0,5360.0
7151.0,73.0,223.0,14500.0
12735.0,114.0,161.0,15100.0
116.0,5.0,4.0,3010.0
646.0,14.0,57.0,25600.0
6258.0,95.0,167.0,11900.0
121.0,2.0,6.0,260.0
166.0,3.0,5.0,7460.0
213.0,13.0,21.0,59600.0
142.0,5.0,8.0,541.0
912.0,17.0,22.0,18500.0
6898.0,7.0,28.0,40800.0
6447.0,78.0,283.0,22200.0
3780.0,25.0,35.0,6120.0
21.0,0.0,3.0,2460.0
55.0,2.0,4.0,8500.0
608.0,8.0,23.0,25600.0
1584.0,28.0,90.0,13300.0
41.0,6.0,13.0,3420.0
880.0,43.0,30.0,7710.0
657.0,25.0,73.0,5800.0
3220.0,204.0,278.0,106000.0
107.0,8.0,9.0,313.0
563.0,51.0,29.0,162.0
804.0,17.0,58.0,5530.0
872.0,41.0,30.0,1980.0
490.0,3.0,7.0,972.0
380.0,0.0,10.0,900.0
82.0,0.0,5.0,2580.0
168.0,11.0,11.0,31.0
23.0,2.0,5.0,4940.0
171.0,5.0,11.0,19700.0
1031.0,5.0,47.0,4480.0
46.0,14.0,13.0,946.0
25.0,0.0,0.0,93500.0
1040.0,97.0,35.0,1980.0
125.0,10.0,11.0,1340.0
18.0,6.0,1.0,810.0
9.0,0.0,1.0,120.0
298.0,9.0,16.0,60.0
368.0,53.0,43.0,1110.0
707.0,6.0,11.0,30100.0
237.0,19.0,12.0,648.0
279.0,22.0,25.0,1720.0
105.0,40.0,16.0,1020.0
96.0,6.0,8.0,1250.0
4471.0,84.0,59.0,30400.0
39.0,4.0,11.0,1090.0
145.0,10.0,7.0,251.0
299.0,11.0,38.0,70700.0
76.0,2.0,8.0,1650.0
10238.0,45.0,99.0,5800.0
52.0,7.0,6.0,539.0
19.0,3.0,8.0,84.0
36.0,14.0,15.0,1280.0
17.0,0.0,11.0,539.0
6787.0,122.0,536.0,13400.0
1284.0,0.0,15.0,40.0
35.0,2.0,6.0,27.0
11824.0,87.0,531.0,62500.0
9970.0,37.0,251.0,26900.0
1459.0,0.0,15.0,9030.0
167.0,1.0,10.0,12900.0
262.0,4.0,24.0,8880.0
13145.0,28.0,62.0,46900.0
12013.0,88.0,537.0,62500.0
10026.0,37.0,252.0,26900.0
1459.0,0.0,15.0,9030.0
174.0,1.0,11.0,12900.0
269.0,5.0,24.0,8880.0
13145.0,28.0,62.0,46900.0
12257.0,88.0,541.0,62500.0
10026.0,37.0,252.0,26900.0
1459.0,0.0,15.0,9030.0
174.0,1.0,11.0,12900.0
269.0,5.0,24.0,8880.0
13145.0,28.0,62.0,46900.0
12411.0,88.0,542.0,62500.0
10026.0,37.0,252.0,26900.0
1459.0,0.0,15.0,9030.0
1639.0,32.0,67.0,46200.0
1024.0,7.0,128.0,6700.0
28529.0,80.0,278.0,91000.0
92.0,1.0,7.0,13600.0
93.0,1.0,4.0,16.0
13121.0,46.0,239.0,28000.0
3761.0,15.0,54.0,4710.0
489.0,45.0,37.0,2350.0
507.0,6.0,48.0,5780.0
1394.0,142.0,194.0,38100.0
214.0,14.0,17.0,7070.0
113.0,1.0,11.0,2360.0
3654.0,118.0,401.0,83800.0
54.0,3.0,6.0,55400.0
14849.0,86.0,373.0,3550.0
8094.0,37.0,192.0,73500.0
24683.0,193.0,295.0,75200.0
1784.0,32.0,70.0,46200.0
1032.0,8.0,129.0,6700.0
28529.0,80.0,278.0,91000.0
112.0,2.0,8.0,13600.0
93.0,1.0,4.0,16.0
13221.0,46.0,241.0,28000.0
3761.0,15.0,54.0,4710.0
490.0,45.0,37.0,2350.0
507.0,6.0,48.0,5780.0
1817.0,158.0,220.0,38100.0
214.0,14.0,17.0,7070.0
113.0,1.0,11.0,2360.0
3744.0,120.0,411.0,83800.0
54.0,3.0,6.0,55400.0
8094.0,37.0,192.0,73500.0
24873.0,193.0,296.0,75200.0
1784.0,33.0,70.0,46200.0
1072.0,9.0,133.0,6700.0
28745.0,81.0,278.0,91000.0
135.0,3.0,9.0,13600.0
93.0,1.0,4.0,16.0
13221.0,47.0,244.0,28000.0
3761.0,15.0,54.0,4710.0
490.0,45.0,37.0,2340.0
529.0,6.0,50.0,5780.0
2241.0,174.0,247.0,38100.0
214.0,14.0,17.0,7070.0
113.0,1.0,11.0,2360.0
3807.0,124.0,417.0,83800.0
80.0,3.0,6.0,55400.0
14917.0,86.0,375.0,3550.0
8094.0,37.0,192.0,73500.0
24873.0,194.0,296.0,75300.0
1794.0,33.0,71.0,46200.0
1104.0,9.0,138.0,6700.0
28745.0,81.0,278.0,91000.0
137.0,3.0,10.0,13600.0
93.0,1.0,4.0,16.0
13235.0,47.0,245.0,28000.0
3761.0,15.0,54.0,4710.0
493.0,46.0,37.0,2340.0
560.0,6.0,54.0,5780.0
2439.0,184.0,268.0,38100.0
218.0,15.0,17.0,7070.0
113.0,1.0,11.0,2360.0
3897.0,127.0,429.0,83800.0
97.0,3.0,8.0,55400.0
14917.0,86.0,375.0,3550.0
8133.0,37.0,194.0,73500.0
24873.0,194.0,296.0,75300.0
1794.0,33.0,71.0,46200.0
1112.0,10.0,139.0,6700.0
28745.0,81.0,278.0,91000.0
163.0,4.0,10.0,13600.0
93.0,1.0,4.0,16.0
13275.0,47.0,248.0,28000.0
3761.0,15.0,54.0,4710.0
493.0,46.0,37.0,2340.0
641.0,6.0,57.0,5780.0
2682.0,194.0,297.0,38100.0
218.0,15.0,17.0,7070.0
113.0,1.0,11.0,2360.0
4059.0,132.0,445.0,83800.0
101.0,3.0,8.0,55400.0
15019.0,86.0,376.0,3550.0
8147.0,37.0,195.0,73500.0
25132.0,196.0,297.0,75300.0
