View,Coment,Like,Subscriber
57854,462,2500,734000
182,12,3,482000
14722,167,1900,30300
468,10,62,7860
9584,83,247,74900
312,4,6,603
55,1,2,36700
433,25,16,1820
100,1,4,3950
56,0,5,541
11,0,1,766
91,11,10,28
7586,26,175,2190000
2064,29,36,2290
22,0,8,506
8650,62,595,62200
21102,116,680,59200000
30,0,1,141
5590,44,203,250000
13039,70,233,156000
6510,12,334,40900
54058,431,2900,263000
7768,173,926,1450000
37218,162,1600,783000
10509,107,307,223000
4241,71,103,33100
15,3,4,334
28618,668,1400,41500
39049,358,5200,117000
8042,36,371,332000
13465,113,638,501000
33780,234,4100,373000
52637,379,2600,1240000
5483,7,495,235000
237585,1997,17000,483000
9521,71,678,326000
5263,90,457,69000
5023,29,176,80500
5827,51,487,278000
417,0,6,20
64449,465,4100,188000
105742,205,3600,963000
12298,12,96,344000
37854,364,2500,113000
65,13,6,122
5837,70,577,57600
43162,625,4200,137000
1454,55,234,29300
104096,1456,10000,689000
183724,283,11000,1160000
76,0,11,302
2254,5,74,8080
283580,543,13000,1060000
16105,151,222,26800
21081,319,2500,29000
5018,51,215,46400
289965,2225,10000,3630000
17690,82,518,116000
346327,1228,25000,238000
30412,693,2700,241000
4473,90,413,25100
34126,218,1100,874000
15310,686,1000,500000
7677,63,607,32700
140309,892,7300,902000
5182,139,722,277000
47938,538,1600,211000
2871,78,313,150000
55029,546,1000,128000
31632,652,3800,1720000
403,25,44,12900
9970,109,996,260000
2304,57,253,360000
4293,136,460,433000
390,11,37,223000
3683,45,101,403000
3829,66,542,165000
1378,67,34,13400
31964,130,1400,92900
11594,61,325,32900
13186,324,876,18700
598,13,37,2540
60058,246,1700,1800000
147713,335,6800,661000
2562,92,363,233000
695,3,50,26200
1977,55,23,1320000
3339,80,369,195000
10536,211,1200,307000
2002,21,67,0
37714,251,2800,263000
1172345,10205,110000,23800000
1303,31,63,0
6514,246,278,10300
678,13,20,36000
47550,59,545,62200
2456,67,158,26000
1546,12,63,4600
1008,28,37,16600
1448,2,12,874000
122269,749,6900,227000
36317,303,3300,489000
93442,635,7800,11400000
671,65,120,1890
4105,53,156,207000
42371,296,4100,1740000
188245,13,17000,1200000
10065,168,2200,1210000
140730,299,13000,3090000
353,10,26,2830
4537,39,304,171000
2263,90,132,232000
272,18,33,16600
